epoch,step,train/loss_epoch,train/loss_step,train/nelbo,val/loss,val/loss_best,val/nelbo
0,49,,9.668498992919922,9.668498992919922,,,
0,99,,10.628500938415527,10.628500938415527,,,
0,149,,12.673383712768555,12.673383712768555,,,
0,199,,8.140941619873047,8.140941619873047,,,
0,249,,9.370561599731445,9.370561599731445,,,
0,299,,9.236957550048828,9.236957550048828,,,
0,349,,7.455093860626221,7.455093860626221,,,
0,399,,8.067994117736816,8.067994117736816,,,
0,449,,8.045181274414062,8.045181274414062,,,
0,499,,7.986788749694824,7.986788749694824,,,
0,549,,7.573680877685547,7.573680877685547,,,
0,599,,6.660006523132324,6.660006523132324,,,
0,649,,5.16503381729126,5.16503381729126,,,
0,699,,7.051664352416992,7.051664352416992,,,
0,749,,7.790175437927246,7.790175437927246,,,
0,799,,7.9286580085754395,7.9286580085754395,,,
0,849,,7.148428916931152,7.148428916931152,,,
0,899,,4.172654151916504,4.172654151916504,,,
0,949,,6.516697406768799,6.516697406768799,,,
0,999,,6.575099945068359,6.575099945068359,,,
0,1049,,5.861971378326416,5.861971378326416,,,
0,1099,,6.7015814781188965,6.7015814781188965,,,
0,1149,,7.406065464019775,7.406065464019775,,,
0,1199,,7.045007705688477,7.045007705688477,,,
0,1249,,6.398287773132324,6.398287773132324,,,
0,1299,,7.088174343109131,7.088174343109131,,,
0,1349,,6.950224876403809,6.950224876403809,,,
0,1399,,5.859862804412842,5.859862804412842,,,
0,1449,,4.423335075378418,4.423335075378418,,,
0,1499,,6.218652725219727,6.218652725219727,,,
0,1549,,6.4944047927856445,6.4944047927856445,,,
0,1599,,6.920166015625,6.920166015625,,,
0,1649,,6.551632404327393,6.551632404327393,,,
0,1699,,6.488014221191406,6.488014221191406,,,
0,1749,,6.599286079406738,6.599286079406738,,,
0,1799,,6.38808536529541,6.38808536529541,,,
0,1849,,6.332944869995117,6.332944869995117,,,
0,1899,,7.108522415161133,7.108522415161133,,,
0,1949,,7.572009086608887,7.572009086608887,,,
0,1999,,7.28442907333374,7.28442907333374,,,
0,2049,,6.442728042602539,6.442728042602539,,,
0,2099,,7.0367889404296875,7.0367889404296875,,,
0,2149,,6.503462791442871,6.503462791442871,,,
0,2199,,7.2809648513793945,7.2809648513793945,,,
0,2249,,6.496365070343018,6.496365070343018,,,
0,2299,,6.323999881744385,6.323999881744385,,,
0,2349,,6.364082336425781,6.364082336425781,,,
0,2399,,6.184628486633301,6.184628486633301,,,
0,2449,,5.9234490394592285,5.9234490394592285,,,
0,2499,,6.277919769287109,6.277919769287109,,,
0,2549,,6.8819122314453125,6.8819122314453125,,,
0,2599,,6.403322219848633,6.403322219848633,,,
0,2649,,3.5493366718292236,3.5493366718292236,,,
0,2699,,6.566414833068848,6.566414833068848,,,
0,2749,,6.423775672912598,6.423775672912598,,,
0,2799,,6.766194820404053,6.766194820404053,,,
0,2849,,5.712378025054932,5.712378025054932,,,
0,2899,,6.153462886810303,6.153462886810303,,,
0,2949,,6.310549259185791,6.310549259185791,,,
0,2999,,3.758312940597534,3.758312940597534,,,
0,3049,,6.6394572257995605,6.6394572257995605,,,
0,3099,,5.996793746948242,5.996793746948242,,,
0,3149,,5.554811477661133,5.554811477661133,,,
0,3199,,6.51597785949707,6.51597785949707,,,
0,3249,,6.261266231536865,6.261266231536865,,,
0,3299,,5.163106441497803,5.163106441497803,,,
0,3349,,5.126707077026367,5.126707077026367,,,
0,3399,,5.694345951080322,5.694345951080322,,,
0,3449,,5.519011974334717,5.519011974334717,,,
0,3499,,6.1336259841918945,6.1336259841918945,,,
0,3549,,6.5113139152526855,6.5113139152526855,,,
0,3599,,4.3348798751831055,4.3348798751831055,,,
0,3649,,6.451367378234863,6.451367378234863,,,
0,3699,,4.990753173828125,4.990753173828125,,,
0,3749,,5.565923690795898,5.565923690795898,,,
0,3799,,5.867308616638184,5.867308616638184,,,
0,3849,,5.87880802154541,5.87880802154541,,,
0,3899,,5.618193626403809,5.618193626403809,,,
0,3949,,5.481117248535156,5.481117248535156,,,
0,3999,,5.400899410247803,5.400899410247803,,,
0,4049,,6.660139083862305,6.660139083862305,,,
0,4099,,5.636321544647217,5.636321544647217,,,
0,4149,,5.258642673492432,5.258642673492432,,,
0,4199,,3.9411818981170654,3.9411818981170654,,,
0,4249,,4.465109825134277,4.465109825134277,,,
0,4299,,5.128695487976074,5.128695487976074,,,
0,4349,,5.02884578704834,5.02884578704834,,,
0,4399,,6.530531883239746,6.530531883239746,,,
0,4449,,5.655545234680176,5.655545234680176,,,
0,4499,,7.089173316955566,7.089173316955566,,,
0,4549,,5.6586151123046875,5.6586151123046875,,,
0,4599,,5.593108654022217,5.593108654022217,,,
0,4649,,5.238317489624023,5.238317489624023,,,
0,4699,,4.894298553466797,4.894298553466797,,,
0,4749,,5.338245391845703,5.338245391845703,,,
0,4799,,5.03251314163208,5.03251314163208,,,
0,4849,,5.016264915466309,5.016264915466309,,,
0,4899,,5.012095928192139,5.012095928192139,,,
0,4949,,4.7647199630737305,4.7647199630737305,,,
0,4999,,5.851303577423096,5.851303577423096,,,
